https://coinmarketcap.com/currencies/ravencoin/,Ravencoin,RVN
https://coinmarketcap.com/currencies/kucoin-shares/,KuCoin Shares,KCS
https://coinmarketcap.com/currencies/power-ledger/,Power Ledger,POWR
https://coinmarketcap.com/currencies/digixdao/,DigixDAO,DGD
https://coinmarketcap.com/currencies/wax/,WAX,WAX
https://coinmarketcap.com/currencies/crypto-com-chain/,Crypto.com Chain,CRO
https://coinmarketcap.com/currencies/crypto-com/,Crypto.com,MCO
https://coinmarketcap.com/currencies/monacoin/,MonaCoin,MONA
https://coinmarketcap.com/currencies/elastos/,Elastos,ELA
https://coinmarketcap.com/currencies/zcoin/,Zcoin,XZC
https://coinmarketcap.com/currencies/nexo/,Nexo,NEXO
https://coinmarketcap.com/currencies/bancor/,Bancor,BNT
https://coinmarketcap.com/currencies/wanchain/,Wanchain,WAN
https://coinmarketcap.com/currencies/tenx/,TenX,PAY
https://coinmarketcap.com/currencies/apollo-currency/,Apollo Currency,APL
https://coinmarketcap.com/currencies/aelf/,aelf,ELF
https://coinmarketcap.com/currencies/moac/,MOAC,MOAC
https://coinmarketcap.com/currencies/veritaseum/,Veritaseum,VERI
https://coinmarketcap.com/currencies/buggyra-coin-zero/,Buggyra Coin ...,BCZERO
https://coinmarketcap.com/currencies/qash/,QASH,QASH
https://coinmarketcap.com/currencies/loom-network/,Loom Network,LOOM
https://coinmarketcap.com/currencies/nxt/,Nxt,NXT
https://coinmarketcap.com/currencies/digitex-futures/,Digitex Futures,DGTX
https://coinmarketcap.com/currencies/nuls/,NULS,NULS
https://coinmarketcap.com/currencies/singularitynet/,SingularityNET,AGI
https://coinmarketcap.com/currencies/zencash/,Horizen,ZEN
https://coinmarketcap.com/currencies/quarkchain/,QuarkChain,QKC
https://coinmarketcap.com/currencies/nebulas-token/,Nebulas,NAS
https://coinmarketcap.com/currencies/enjin-coin/,Enjin Coin,ENJ
https://coinmarketcap.com/currencies/metaverse/,Metaverse ETP,ETP
https://coinmarketcap.com/currencies/syscoin/,Syscoin,SYS
https://coinmarketcap.com/currencies/waykichain/,WaykiChain,WICC
https://coinmarketcap.com/currencies/funfair/,FunFair,FUN
https://coinmarketcap.com/currencies/obyte/,Obyte,GBYTE
